0,The Fool,Дурак,"Безумный Шляпник стоит на краю обрыва; на нём шляпа, которую он сделал сам. Он держит кусок хлеба, его туфли развязаны. Ёж наблюдает за ним.","Всё глупое во всех его проявлениях. Отсутствие критического мышления. Игнорирование последствий. Мания или невоздержанность."
I,The Magician,Маг,"Маг – это сам Льюис Кэрролл, вытаскивающий кролика из шляпы. На столе представлены изображения четырёх мастей: фламинго, перцемолка, шляпа и устрица. Над ним – ухмыляющееся лицо Чеширского Кота. На переднем плане – ежовая нора и обычные для мира Зазеркалья цветы. Карта представляет собой фантастический мир, созданный самим Кэрроллом, мир, в котором вещи могут быть такими, какими вы хотите их видеть.","Создатель. Творческая душа. Коварство и хитрость в хорошем смысле слова. Сильная воля и чувство достижения цели. Влияние."
II,The High Priestess,Верховная Жрица,"Алиса сидит на табурете, который является её троном в Зазеркалье. У неё корона и скипетр Белой Королевы. Её глаза опущены от застенчивости и утомления. Позади неё — море опыта. На входе буквы B и J. Ни одна история не может быть рассказана, если она не пройдёт через Верховную Жрицу, поскольку она собрала мудрость вселенной.","Мудрость и личное суждение. Всё, что приходит со зрелостью. Интуиция и здравый смысл. Способность и желание учиться. Добродетель и эмоции. В более негативном смысле — нетерпение, неспособность делиться. Строгий и требовательный, но, тем не менее, хороший учитель."
III,The Empress,Императрица,"Овца сидит на корме лодки на реке, проплывая мимо постоянно меняющегося ландшафта. В руках она держит множество вязальных спиц. Алиса, которую мы не видим, находится в передней части лодки. На самом деле всё путешествие происходит в Овечьей лавке. Овца — идеальная женская фигура, уверенная в себе, уравновешенная, терпеливая и добрая.","Императрица — фигура матери, а также сестры, жены и брака. Она — все аспекты женского влияния. Она принимает решения, исходя из гуманности, а не из собственных интересов, хотя эти два понятия часто пересекаются. Хороший партнёр. Практичный, решительный, обладающий интуицией. Мотиватор."
IV,The Emperor,Император,"Чеширский Кот на самом деле не кот, но может казаться таковым благодаря своим странным способностям к  телепортации. Он изображён сидящим на дереве и ухмыляющимся. Вопреки распространенному мнению, он коричнево-чёрный, а не оранжевый. Первоначально замеченный в доме герцогини, он время от времени появляется, чтобы дать совет Алисе. Он — мудрость, плавающее сознание в Стране чудес. Предполагается, что Алиса — не единственная, кому его проницательность принесла пользу.","Император выше королей, более мудр и уверен в себе, символ стабильности и лидерства, а также члена семьи мужского пола. Логика выше эмоций. Податель помощи и утешения. Иногда доминирующий, деспотичный человек."
V,The Hierophant,Иерофант,"Гусеница сидит на своём грибовидном троне, курит кальян и думает о жизни, ни на что не обращая внимания. Её улыбка доброжелательна. Две стороны гриба, одна для роста, а другая для уменьшения, противопоставляют хорошие и плохие стороны жизни. Гусеница исчезнет, и Алиса будет выбирать свой собственный путь.","Мудрец. Религиозный или духовный лидер. Милосердие и доброта. Кто-то, кем можно восхищаться и к кому обращаться за помощью. Оторванность от реальности. Ритуализм. Сдержанность и самоанализ. Потусторонняя философия. Приверженность к хорошему или плохому без должного баланса. Религиозный фанатизм, догматизм, морализаторство."
VI,The Lovers,Влюблённые,"Братья-близнецы, Труляля и Траляля, неразлучны. Здесь они изображены рука об руку, а над ними — ворона, которая прервала их битву, заслонив солнце. Это карта взаимодействия двух людей, семьи и друзей. Она также изображает неожиданные события и встречи, поскольку Алиса случайно встретила пару, а появление вороны стало сюрпризом для близнецов.","Единодушие и гармония. Преодоление неудач. Уверенность в завтрашнем дне. Слепота по отношению к будущему и его определённым испытаниям. Все аспекты любви, особенно к друзьям и родственникам. Свобода. Сильные эмоции."
VII,The Chariot,Колесница,"Алиса сидит в поезде. Напротив неё — мужчина в газетной шляпе, читающий газету. Носильщик смотрит на что-то в вагоне, его бинокль закрывает всё его лицо.","Тело и душа стремятся к общей цели. Возможно, слишком стремительное движение к цели без чёткой видимости конечного результата. Срочность, суматоха, месть. Неспособность сосредоточиться на мелких деталях, которые вносят вклад в общую картину."
VIII,Strength,Сила,"Лев и Единорог сражаются понарошку. Лев носит очки. Единорог, кажется, выигрывает, но оба на самом деле равны. Каждый из них делает то, что должно быть сделано ради собственного престижа.","Контроль над ситуацией. Храбрость, непоколебимое стремление к результату в выполнении задачи, азарт, умение преодолевать искушение, физическая сила. Карта предлагает определиться, что в вашей жизни важнее — духовное или материальное, сознание или животные инстинкты, где единорог является олицетворением высокой духовности, а лев — символ животных инстинктов и грубой физической силы; на карте они борятся понарошку, поскольку и то, и другое в нашей жизни присутствует в равной степени. Титанические усилия в личных целях или ради всего мира."
IX,The Hermit,Отшельник,"Соня сидит в чайнике и, как обычно, спит. Его фонарь освещает всё. Ему снится, возможно, прошлое, возможно, будущее. Он не молод и не стар, не в возрасте и не вне возраста. Больше всего он в мире с самим собой.","Попытка познать себя. Внутренняя сила. Выход из боя по своему усмотрению. Безграничное терпение. Осторожность. Иногда карта олицетворяет неискренность, лицемерие, сдерживание эмоций, скрытность и боязнь открытия. Неиспользованные знания, которые могут помочь кому-то другому."
