0 — Шут,энтузиазм,"Я знаю, что духовный подход редко согласуется с логикой и порой даже кажется непрактичным. Но когда появляется эта карта, я могу рискнуть, поверив, что возможно всё! Невидимые сферы будут открываться мне на каждом шагу, где бы я ни странствовал. Это время, когда я обретаю знание о том, что являюсь духовным существом с человеческим опытом."
I — Маг,алхимия,"Любые чудеса возможны, когда я нахожусь в согласии с волей Духа. Когда я вижу эту карту, то напоминаю себе, что моя воля и мастерство сами по себе дадут лишь ограниченные результаты. Если же я помню о своей взаимосвязи с Духом, все получается намного лучше. Мне нужно проанализировать свою готовность к созидательным алхимическим отношениям, и прекрасные результаты не заставят себя ждать. Через меня Дух творит магию."
II — Верховная Жрица,тайна,"Некоторые вещи не предназначены для постижения разумом, но могут быть познаны при помощи интуиции. Эта карта напоминает о вере в то, что у меня есть доступ к высшей мудрости, и дает знать, когда следует настроиться на волну и довериться своим чувствам. Время раскрытия тайн и — как результат — возможности личностного роста."
III — Императрица,плодородие,"Это прекрасный период для того, чтобы дать начало новым идеям и новому опыту. Я обязательно получу поддержку, как только начну обновление своего «я». Моя жизнь богата и полна возможностей, я созрел для того, чтобы проявлять себя и творить. Я — могущественный созидатель, и жизнь любит меня! Мой мир наполнен потенциалом и бесконечными перспективами, которые обязательно проявят себя во имя высшего блага."
IV — Император,власть,"Следовать правилам — вот что я должен делать прямо сейчас. Люди, обладающие властью, снисходят к моим устремлениям и дают мие хорошие советы, если я за ними обращаюсь. Эта карта говорит о твердой уверенности в ситуации. Благоприятное время для общения с такими структурами, как банки, органы власти, образовательные учреждения."
V — Первосвященник,духовная практика,"Эта карта напоминает о необходимости духовной практики, обеспечибающей осознанный контакт с моей высшей силой. Если я ежедневно молюсь и медитирую, выражаю свою благодарность и стремление созидать, то жизнь являет себя чудесными путями. Это время подходит для совершения ритуалов и обмена клятвами."
VI — Любовь,единство,"Сепарация — это только иллюзия. На самом деле мы все являемся отражениями друг друга. Принимая решения, я склонен рассматривать проблему категорично — или/или. Когда я начну видеть вещи цельными, все преисполнится магии. Любовь повсюду вокруг меня, Дух любит меня безусловно, и я сам способен давать и получать обильную любовь."
VII — Колесница,победа,"Настало время побед, к которым меня привели усердная работа и преодоление препятствий. Я научился воспринимать все происходящее в моей жизни как необходимое для моего роста. Я упал, но поднялся вновь, чтобы жить свободно, честно, бесстрашно и умело. "
VIII — Сила,стойкость,"Я могу пройти этот путь и знаю, что все происходит своевременно в соответствии с божественным предопределением. У меня есть мужество совершать чудеса. Доверяясь Духу, я становлюсь так силен, что могу свернуть горы и преодолеть любое препятствие в себе самом и вовне!"
IX — Отшельник,передышка,"Иногда нужно взять передышку для перегруппировки и самонаблюдения. Это временное состояние, необходимое для моего роста. В момент отступления и обновления у меня есть возможность ясно взглянуть на происходящее в моей жизни."
X — Колесо Фортуны,судьба и синхронность,"Я испытываю трепет перед совпадениями, доказывающими, что Дух покровительствует мне! Эти счастливые случайности, когда все само собой получается превосходно, демонстрируют, как тесно мы связаны. Если я положусь на творческое сотрудничество с Духом, то только выиграю. Моя судьба теперь очевидна."
XI — Правосудие,карма,"В игру вступил закон причины и следствия, стихии пришли к равновесию. Что посеешь, то и пожнешь. Мне явлены доказательства действия этого закона в условиях моего мира."
