Всадник,"В оракуле Ленорман письмо Всадника имеет положительное значение и сообщает о новостях, которые поступают по заданному вопросу; хорошие или плохие будут известия, зависит от остальных карт вокруг  Всадника.</p><p>Эта карта может иметь форму человека, сообщения или события. Общее ощущение, стоящее за этой картой, положительное, это также обычно означает, что-то, что встречается на вашем пути и не является чем-то постоянным, ведь постоянство не является сильной стороной Всадника. Считайте эту карту мимолетной возможностью, для которой нужны ваши быстрые действия.</p><p>Карта говорит о том, что период застоя прекратился и началось активное движение. Человек уверенно решает насущные задачи и быстро принимает решения в поставленных вопросах. Не исключено получение известий и новостей из дальних мест от знакомых и родственников. Всадник может означать, что вскоре придется встречать гостей.","энергия, страсть, скорость, деятельность, новости, сообщения."
Клевер,"Клевер обычно означает какое-то счастливое совпадение. Это связано с удачей и возможностями, хотя и не слишком значительными по своей природе. У нас карта клевер ассоциируется с маленькими радостями жизни, которые обычно мимолетны, проходят в мгновение ока. Следовательно, клевер также указывает на то, что мы должны предпринять быстрые действия, чтобы воспользоваться преимуществами. У вас совсем немного времени, чтобы воспользоваться этим шансом!</p><p>Эта карта также придаст ощущение беззаботности и юмора любой ситуации. Когда вещи в жизни мимолетны и постоянно меняются, будь то ситуации положительные или отрицательные, мы можем научиться не воспринимать их слишком серьезно. Вам нужно посмотреть на остальные карты в раскладе, чтобы интерпретировать эту ситуацию с большей точностью.","удача, беззаботность, маленькие предприятия, возможности, комедия."
Корабль,"В основе карты Корабль лежит концепция путешествий и всего, что происходит в это время. Это вполне может означать какое-то путешествие в далекие места, но также может обозначать душевное состояние путешествия — желание увидеть новые места, исследовать и отправиться в неизведанные дали. Независимо от того, совершаете ли вы на самом деле физическое передвижение, эта карта сигнализирует о том, что вы отправляетесь в какое-то приключение, в котором уходите далеко от того, что знакомо.</p><p>Эта карта также может означать расстояние до окружающих ее карт, иногда касающихся отношений на расстоянии, далекой семьи или заграничной командировки — в зависимости от вашего вопроса и других карт в раскладе. Это определение также может иметь более метафорический характер. Хотя физически вы можете находиться в непосредственной близости от чего-либо, вы можете не чувствовать себя близко к этому.","отъезд, прощальный привет, расстояние, путешествие, поездка, приключение."
Дом,"Когда Дом появляется в раскладах Ленорман, упоминаются проблемы семьи и домашней жизни. Он может сигнализировать как о физическом пространстве, так и о людях в нем, например, о конкретных членах семьи, а также о более абстрактной концепции дома. Когда мы думаем о местах, которые кажутся нам домом, это места, где мы чувствуем себя в безопасности, защищенными, там, где нам комфортно.</p><p>То же чувство принадлежности, комфорта и безопасность, также может мешать идти вперед и пробовать новые способы ведения дел. Дом — это граница между тем, что снаружи, и тем, что внутри — это пузырь или барьер, нечто разделяющее. Это подразумевает, что есть «мы» и «они».","возвращение домой, учреждение, безопасность, традиция, крупный заказ, конфиденциальность, безопасное место."
Дерево,"Одна из самых сильных карт в колоде. Несет положительную информацию и говорит о непоколебимости и стойкости в характере человека. Символизирует отменное здоровье, быстрый личностный рост и процветание во всех начинаниях. Дерево олицетворяет семейный род. Карта говорит о крепких отношениях между родственниками и поколениями в семье. Традиции все члены семьи чтут и соблюдают.</p><p>В раскладе карта показывает непоколебимость ситуации, стабильность в жизни человека, а также его сильные устои и верное направление выбранного пути. Человек сильный и выбрал верное направление развития и процветания в жизни. Он напорист, действует обдуманно и целенаправленно. Дела со всех сторон ладятся и спорятся. Дерево в гадании символизирует внешнюю и внутреннюю силу, стойкость и непреклонность перед различными препятствиями.","рост, заземление, прошлые связи, личностный рост, духовность, здоровье."
Тучи,"Тучи как метафора, когда они закрывают солнце, мы не можем видеть свет истины. Тучи могут действовать как вуаль, которая что-то скрывает. В раскладах Ленорман тучи обозначают то, что скрыто, а также сомнения и смятение, вызванные отсутствием ясности.</p><p>Вы можете оказаться в моменте, когда не уверены в том, какой выбор нужно принять, или куда можете пойти. Поскольку у вас так мало ориентиров, можете чувствовать себя потерянным.</p><p>На карте видно, что не все небо затянуто тучами, а только его часть. Период ненастий и печали быстро пройдет и даст начало новому толчку начать жизнь с чистого листа. Возможно просто остановка в развитии, некоторые неясности и мелкие непонимания со стороны окружающих людей. Это период некого застоя. Человеку нужно быть осторожным: стоит приготовиться к любой непредсказуемой истории в жизни.","спутанность сознания, нечеткость, недоразумение, незащищенность, сомнение, секреты."
Змея,"Как один из самых древних символов человечества, вид Змеи в раскладах Ленорман может отражать многие аспекты и лица этого животного. Желание, страсть или амбиции — одна из этих граней, особенно желание такого рода, которое очень сильное, почти всепоглощающее. Некоторые из этих желаний могут быть безобидными, а другие, когда они не контролируются, могут привести к своего рода зависимости. Также есть ощущение того, что желание, которое олицетворяет Змея, настолько сильное, что вместе с ним приходит невероятная решимость, что иногда способствует целенаправленному сосредоточению внимания.</p><p>Другой аспект Змеи может включать в себя обман, а точнее, вид обмана, который является расчетливым и корыстным, почти манипулятивным. Ещё одна интерпретация карты, которая используется редко, но не менее важна, — это ее мудрость и знания.","соблазнение, обман, страстное желание, привлечение, сексуальность, мудрость, запретное знание."
Гроб,"Карта Гроб в Ленорман говорит о потере и всех связанных с ней невзгодах — об эмоциональном процессе и переходах, которые мы должны совершить, когда перестает существовать то, что нам дорого. Эта карта указывает на то, что вы проходите через финал. Наряду с потерей приходит страдание, карта Гроб также может указывать на горе и скорбь — этап, который мы должны пройти, чтобы отпустить то, что потеряли. Иногда карта может указывать на то, что ваш прогресс остановился, потому что вы не можете избавиться от глубоко укоренившейся боли.</p><p>Наконец, эта карта также может указывать на захоронение — мы закладываем что-то настолько глубоко в землю, что больше никогда не сможем получить к нему доступ. Эта карта может указывать на то, что вы подавляете чувства, желания, страхи, из-за которых вы, возможно, испытываете глубокий стыд или вину.","конец, похороны, потеря, горе, траур, печаль."
Букет,"Веселые и легкие социальные взаимодействия представлены картой Букет Ленорман. Эта карта указывает на то, что вам преподносят более приятные события в жизни, и вы должны уделить время, чтобы насладиться ими. Эта карта указывает на хороший шанс завязать дружеские отношения, протянуть руку помощи и насладиться счастьем, которое могут принести другие.</p><p>Букет также может быть выражением признательности к тем, кто нас поддерживает. Этот знак может быть, как из искренних чувств, так и из социальной вежливости, а иногда и из лести со скрытым мотивом. Читатель и окружающие карты могут определить, какая сторона Букета присутствует в раскладе.","лесть, социальная жизнь, приятность, радушие, этикет, вежливость, признательность."
Коса,"Вам нужно будет что-то искать, когда вы увидите карту Косы в раскладе Ленорман. Внезапный финал не за горами, и он, скорее всего, наступит без предупреждения или ожидания — хотя мы должны помнить, что все концовки не обязательно вредны. Конец, скорее всего, будет быстрым и сигнализирует о явном перерыве — и то, что произойдет, также может привести к длительным последствиям.</p><p>На более символическом уровне Коса представляет собой сбор урожая — время, когда мы пожинаем награду (или наказание) за наши прошлые действия. Это может означать момент подведения итогов того, чего мы достигли, самооценки и расчета. Мы должны оглянуться назад, чтобы понять, что мы можем сделать лучше всего, чтобы двигаться вперед и извлечь уроки из того, что было сделано. Следовательно, коса также может сигнализировать о закрытии в этом смысле.","несчастные случаи, поспешные решения, опасность, предупреждение, скорость, расплата."
