0,Дурак,Большой Взрыв,"Дурак символизирует Большой Взрыв, рождение нашей Вселенной. Согласно теории, Вселенная родилась в единственном взрыве неимоверной силы около 14 миллиардов лет назад. Вся материя образовалсь в первые секунды после взрыва (хотя звезды и галактики появились лишь через миллионы лет). Квантовый Дурак представляет что-то новое, что проявилось подобно бабочке, выпархивающей из своего тесного кокона. У Дурака нет страха, потому что у него нет жизненнго опыта. Он не видит опасности и также полностью открыт; нет ни предрассудков, ни скрытых планов. Все видится ему, как оно есть, даже если не хватает мудрости для полного понимания."
I,Маг,Электромагнитное Взаимодействие,"Электромагнитное взаимодействие проявляется между электрически заряженными или обладающими магнитным моментом частицами, но не напрямую, а посредством электромагнитного поля. В свою очередь, это поле порождает излучение во всех видах спектра, от видимого света, инфракрасных и ультрафиолетовых лучей, до радиоволн, потоков рентгентовского и гамма излучения. Квантовый Маг управляет энергией, придает ей форму и делает невидимое видимым. Он может создать что-то из кажущегося ничего, что является сутью магии. Маг приносит сознание и просветление, становится мостом между бессознательным и материальной реальностью. Когда бы мы ни творили, мы призываем его архетип."
II,Верховная Жрица,Слабое Взаимодействие,"Слабое взаимодействие контролирует странный и мистический процесс распада частиц. Когда частица распадается, он не исчезает, а переходит в две или более частицы меньшей массы. Однако мы не можем точно предсказать, где и как это случится, и какие новые частицы будут рождены. Верховная Жрица воплощает в себе эту непознаваемость мистерии. Она олицетворяет все тайное и скрытое в нашей жизни. Как и слабое взаимодействие — процесс невидимых перемен, Верховная Жрица действует позади сцены. Она требует обретения знания и мудрости через самопознание, зовя за пределы рациональности мышления и обозрения опыта."
III,Императрица,Гравитационное Взаимодействие,"Гравитация — это сила притяжения между объектами — от планет до людей. Каждый из нас притягивает другого, но настолько слабо, что мы этого не замечаем. На символическом уровне Императрица — это женский творческий принцип, власть притжения, влекущая людей друг к другу для творчества, как на уровне материальности, так и выше. Сила сексуального влечения неотвратимо заставляет продолжать свой род. И Императрица часто изображается беременной женщиной, несущей в себе недавно зачатую жизнь. Это означает что-то в нашей жизни, что еще только развивается и требует нашей поддержки и защиты."
IV,Император,Сильное Взаимодействие,"Сильное взаимодействие удерживает вместе частицы, составляющие ядро атома. Без него не могла бы существовать материя, ибо атомы бы просто распались на части. Не было бы звезд, планет или галктик, даже вселенной, как мы ее представляем. Император, как сильное взаимодействие, удерживает все вместе в упорядоченном функционирующем целом. Он олицетворяет лидерство и власть. Хотя часто эта карта представляет людей, играющих похожую роль в нашей жизни, Император также символизирует сознательную волю — что Фрейд называл сверхэго."
V,Верховный Жрец,Законы Движения Ньютона,"Три закона движения Ньютона лежат в основании современной науки. До появления теории относительности Эйнштейна они считались универсальными и абсолютными. Три закона описывают взаимодействие физических объектов, сил, действующих на них, и их состояние в окружающем пространстве. Верховный Жрец представляет собой духовную традицию, и в старых колодах Таро изображался римским Папой. В Квантовом Таро эту роль играет Исаак Ньютон, теории которого являются традиционной основой, на которой построена физика 20 и 21 века. Верховный Жрец требует от нас признания и уважения к традициям. Его власть может быть менее явная, чем власть Императора, но за его спиной мудрость, накопленная в течение многих поколений. Он предлагает нам прочную основу для наших начинаний. Однако мы должны быть внимательными и не допустить того, чтобы эта прочность и твердость превратились в окостенелость и непримиримость к новому."
VI,Влюблённые,Теория Гравитации Ньютона,"Было давно известно, что гравитация — это сила притяжения. Однако только Ньютон предложил научную теорию для ее описания. Он показал, что гравитационная сила пропорциональна массе или массам взаимодействующих объектов. По сравнению с тремя другими фундаментальными взаимодействиями, гравитация слаба и начинает оказывать заметное влияние лишь в масштабах планет или звезд. Как две звезды в бинарной системе, Любовники находятся во взаимном танце эмоционального физического и духовного притяжения. Эта карта показывает, что вас сильно тянет к кому-то. Нравится вам это или нет, но силы притяжения вовлекли вас во взаимоотношения."
VII,Колесница,Специальная Теория Относительности,"Теория относительности Эйнштейна кардинально изменила наше видение мира. Специальная теория относительности показала, что пространство и время не являются абсолютными. Например, если вы находитесь в очень быстром поезде, то время для вас проходит быстрее, чем для того, кто неподвижен. Просто разница настолько мала, что мы не замечаем ее. Только при скоростях, близких к свету, разница в течении времени становится существенной. Колесница традиционно изображает человека, пытающегося управлять колесницей с двумя лошадьми. Лошади связаны, как и пространство и время, хотя могут и схватываться друг с другом. Эта карта проявления собственной воли, борьбы за контроль над нашими неуправляемыми желаниями и противоречивостью натуры. Если Колесница появляется в раскладе, то мы достигли определенного уровня мастерства в самоконтроле. Колесница означает тяжело заработанную зрелость."
VIII,Сила,Общая Теория Относительности,"В общей теории относительности Эйнштейн показал влияние массивных объектов, таких как планеты и звезды, на структуру пространства-времени. Специальная теория относительности еще раньше связала пространство и время, а общая теория указала на влияние, которое оказывает на время гравитация. Очень массивные объекты, например звезды, создают искривление в пространстве-времени, наподобие тяжелого шарика, продавливающего натянутую резиновую мембрану. Черные дыры, наиболее массивные объекты в нашей вселенной, создают вокруг себя настолько сильное искажение пространства-времени, что даже свет не может вырваться наружу. Сгибание пространства-времени вокруг массивных объектов можно сравнить с нежной мощью карты Сила. Часто изображаемая как женщина, мягко укрощающая льва, эта карта показывает не грубую силу, а упорное и любящее приложение личной силы. Секрет карты Сила заключен в сострадании; женщина управляет львом без принуждения и насилия."
IX,Отшельник,Элементарные Частицы,"Около ста лет назад ученые думали, что атомы являются мельчайшими частицами материи, и представляли их в виде твердых маленьких шариков. Однако первые десятилетия 20 века ознаменовались чередой открытий: атомы оказались не фундаментальными частицами, а чем-то наподобие миниатюрных солнечных систем с ядром из протонов и нейтронов и отрицательно заряженными электронами, вращающимися по орбитам вокруг этого ядра. 60-e годы 20 века принесли новые открытия. Оказалось, что протоны и нейтроны также не фундаментальны, а в свою очередь состоят из еще более мелких частиц, названных кварками. Квантовый отшельник представляет идею скрытого мира, ожидающего открытия. Он направляет свет в тайные закоулки и ведет нас прочь от скопления людей к размышлениям и созерцанию. Карта может означать явный уход от мира или более тонкое перенаправление внимания с повседневной активности к глубинным таинствам внутреннего мира."
